562.55	37.19	40.88	43.56	46.63	50.13	53.56	56.88	58.31	63.19	64.81	68.87	72.0	78.75	79.81
576.84	37.38	41.06	43.69	46.81	50.38	53.81	57.13	58.56	63.44	65.06	69.12	72.25	79.06	80.06
580.03	37.38	41.06	43.75	46.88	50.38	53.88	57.19	58.63	63.44	65.12	69.25	72.31	79.12	80.12
582.21	37.38	41.06	43.81	46.88	50.44	53.94	57.19	58.69	63.5	65.19	69.25	72.37	79.19	80.12
596.53	37.56	41.31	44.0	47.06	50.63	54.13	57.44	58.88	63.75	65.44	69.5	72.56	79.37	80.25
599.73	37.56	41.31	44.06	47.13	50.69	54.19	57.5	58.94	63.81	65.44	69.5	72.62	79.37	80.31
601.94	37.63	41.31	44.06	47.19	50.75	54.19	57.5	59.0	63.81	65.5	69.56	72.62	79.44	80.37
618.26	37.81	41.56	44.25	47.38	51.0	54.5	57.75	59.25	64.06	65.75	69.81	72.94	79.69	80.62
621.46	37.81	41.56	44.31	47.44	51.0	54.5	57.81	59.25	64.12	65.75	69.87	72.94	79.75	80.62
623.66	37.88	41.63	44.38	47.44	51.06	54.56	57.81	59.31	64.19	65.81	69.87	73.0	79.81	80.69
637.96	37.94	41.75	44.5	47.63	51.25	54.75	58.0	59.5	64.37	66.0	70.06	73.12	79.94	80.81
654.25	38.06	41.88	44.69	47.81	51.44	55.0	58.19	59.69	64.56	66.19	70.31	73.37	80.25	81.06
657.47	38.13	41.88	44.75	47.88	51.5	55.06	58.25	59.75	64.62	66.25	70.37	73.44	80.25	81.12
659.66	38.13	41.94	44.75	47.88	51.5	55.06	58.31	59.75	64.62	66.31	70.37	73.44	80.25	81.12
673.96	38.25	42.06	44.88	48.06	51.69	55.19	58.5	59.94	64.81	66.44	70.56	73.62	80.5	81.31
677.17	38.31	42.13	44.94	48.06	51.75	55.25	58.5	60.0	64.87	66.5	70.62	73.69	80.5	81.37
679.36	38.31	42.13	44.94	48.13	51.75	55.25	58.56	60.0	64.87	66.56	70.69	73.75	80.56	81.44
693.66	38.44	42.25	45.06	48.25	51.88	55.44	58.69	60.19	65.06	66.75	70.87	73.94	80.81	81.69
696.86	38.5	42.31	45.13	48.31	51.94	55.5	58.75	60.25	65.12	66.81	70.87	74.0	80.87	81.69
699.04	38.5	42.31	45.13	48.31	51.94	55.5	58.75	60.31	65.19	66.81	70.94	74.0	80.87	81.69
711.33	38.63	42.44	45.25	48.44	52.13	55.63	58.94	60.44	65.31	67.0	71.06	74.19	81.0	81.75
714.55	38.63	42.5	45.31	48.5	52.13	55.69	59.0	60.5	65.37	67.0	71.12	74.19	81.0	81.81
716.76	38.63	42.5	45.38	48.5	52.19	55.69	59.0	60.5	65.37	67.06	71.19	74.25	81.0	81.81
719.95	38.63	42.56	45.38	48.56	52.19	55.75	59.06	60.56	65.44	67.06	71.19	74.25	81.0	81.81
722.14	38.69	42.56	45.38	48.5	52.25	55.69	59.06	60.56	65.44	67.06	71.19	74.31	81.06	81.81
736.46	38.75	42.63	45.5	48.69	52.38	55.88	59.19	60.69	65.56	67.19	71.31	74.44	81.19	81.94
739.67	38.75	42.69	45.56	48.75	52.38	55.88	59.19	60.69	65.62	67.25	71.37	74.44	81.19	82.0
741.86	38.75	42.69	45.56	48.75	52.38	55.88	59.19	60.75	65.62	67.31	71.37	74.5	81.25	82.06
754.14	38.81	42.75	45.63	48.81	52.5	56.0	59.31	60.88	65.75	67.37	71.56	74.62	81.37	82.19
757.36	38.81	42.81	45.69	48.88	52.56	56.0	59.38	60.88	65.81	67.44	71.62	74.69	81.37	82.19
759.56	38.81	42.81	45.69	48.88	52.56	56.0	59.38	60.94	65.81	67.44	71.56	74.69	81.44	82.19
773.86	38.94	42.94	45.81	49.0	52.69	56.19	59.5	61.0	65.94	67.62	71.75	74.75	81.56	82.31
777.08	39.0	42.94	45.81	49.0	52.75	56.25	59.5	61.06	66.0	67.62	71.75	74.81	81.56	82.37
779.3	38.94	43.0	45.81	49.06	52.75	56.25	59.56	61.06	66.0	67.62	71.75	74.81	81.56	82.37
782.49	39.0	43.0	45.88	49.06	52.75	56.25	59.56	61.13	66.0	67.62	71.75	74.87	81.62	82.37
784.69	39.0	43.0	45.88	49.06	52.75	56.31	59.63	61.13	66.06	67.69	71.81	74.87	81.62	82.37
799.01	39.13	43.06	45.94	49.19	52.88	56.44	59.75	61.25	66.19	67.81	71.94	74.94	81.69	82.44
802.21	39.13	43.13	46.0	49.19	52.94	56.44	59.75	61.25	66.19	67.81	71.94	74.94	81.69	82.44
804.41	39.19	43.13	46.0	49.25	52.94	56.44	59.81	61.31	66.19	67.81	71.94	75.0	81.69	82.44
816.7	39.25	43.19	46.06	49.31	53.0	56.5	59.88	61.38	66.25	67.87	72.0	75.06	81.81	82.56
819.9	39.25	43.25	46.13	49.31	53.06	56.56	59.88	61.38	66.31	67.87	72.06	75.12	81.81	82.56
822.08	39.31	43.25	46.13	49.31	53.0	56.56	59.88	61.44	66.31	67.94	72.06	75.06	81.87	82.56
836.4	39.38	43.31	46.25	49.44	53.13	56.69	60.0	61.5	66.37	68.0	72.12	75.12	81.87	82.56
850.68	39.38	43.38	46.25	49.5	53.19	56.75	60.06	61.56	66.44	68.06	72.19	75.19	81.94	82.62
853.89	39.44	43.44	46.31	49.5	53.25	56.75	60.06	61.56	66.5	68.12	72.19	75.19	81.94	82.62
856.08	39.44	43.44	46.38	49.56	53.25	56.81	60.13	61.63	66.5	68.06	72.19	75.25	81.94	82.62
868.36	39.5	43.5	46.38	49.63	53.31	56.88	60.13	61.69	66.56	68.19	72.25	75.25	82.0	82.69
871.56	39.5	43.5	46.44	49.69	53.31	56.88	60.19	61.69	66.56	68.19	72.31	75.25	82.0	82.69
873.75	39.5	43.5	46.44	49.69	53.31	56.88	60.19	61.69	66.56	68.19	72.31	75.25	82.0	82.69
881.97	39.56	43.56	46.5	49.69	53.44	56.94	60.25	61.75	66.62	68.19	72.25	75.31	82.06	82.75
885.16	39.56	43.56	46.5	49.69	53.44	56.94	60.25	61.75	66.62	68.25	72.37	75.31	82.06	82.75
887.35	39.56	43.56	46.5	49.75	53.44	56.94	60.25	61.75	66.62	68.25	72.37	75.37	82.06	82.81
899.65	39.63	43.63	46.5	49.75	53.5	57.0	60.31	61.75	66.69	68.31	72.44	75.44	82.19	82.94
902.87	39.63	43.63	46.56	49.81	53.5	57.0	60.31	61.75	66.69	68.31	72.44	75.5	82.25	82.94
905.05	39.63	43.63	46.56	49.81	53.5	57.06	60.31	61.81	66.69	68.31	72.5	75.5	82.25	83.0
